EntrezGeneSymbol,Var_subject,Var_resid,ICC,stable
ZFP57,106007429.316727,4534671.387329996,0.9589778793921222,TRUE
CNEP1R1,2975.5381377147987,127.5813328860121,0.9588861034534031,TRUE
BIRC3,139301.5938000015,6034.21131219801,0.958480903535508,TRUE
TUB,5747.171717706507,250.77066579362034,0.9581905510657336,TRUE
SPATA24,254649.48991516835,11130.098628141872,0.958122823919083,TRUE
DNAJC27,5327.924380309247,233.14599919420255,0.9580753374290112,TRUE
FCRL3,6807.191171168988,298.03933230258747,0.9580535308239518,TRUE
DNAJC9,213279.78354724494,9346.406634362796,0.9580174882984862,TRUE
ARHGEF7,3659346.485334478,160643.73277885577,0.9579465591254324,TRUE
MPP2,9899.638531328214,435.2519985027317,0.9578851854070048,TRUE
OTX2,2906.506358907235,128.20666622453945,0.9577532817229161,TRUE
HLA-DQA1,9089.373080182522,401.9386652770517,0.9576519372604814,TRUE
CHIC2,1356.220567401824,60.06933312770683,0.957586837902856,TRUE
TECTB,323354.4260583458,14330.151284076444,0.9575635008360324,TRUE
STEAP3,25126.82699795818,1116.5039961660393,0.9574557057404023,TRUE
VPS9D1,5425230.094889668,241396.86850607643,0.9574002541431774,TRUE
NAPEPLD,7716805.103794127,346633.10148921557,0.9570117494963757,TRUE
MC4R,21591030.377597585,971018.5313671633,0.9569623071342008,TRUE
TMEM108,24481.91810065769,1104.1653295916697,0.9568450821087271,TRUE
COMMD1,1053152.236051324,47685.98983945726,0.956682109398163,TRUE
SPATA22,51151.586106303854,2324.1446588423555,0.956538328217533,TRUE
PIAS3,3047.1474707244497,138.5899995318312,0.9564967293049786,TRUE
SHCBP1L,67307.35157902102,3062.9546563460403,0.9564737625824534,TRUE
IMMP2L,7885.799511760857,359.30599879867054,0.9564219040813356,TRUE
ZSCAN1,642204.9826291546,29363.02123452285,0.9562769204822282,TRUE
EGLN3,48984.88608466131,2241.567992508931,0.9562419840902493,TRUE
